Card ID,Name,Reverse Side,Game,Card Type,Cycle,Card Size,Found In,Story Card,Flavor A,Summary A,Rules A,Flavor B,Summary B,Rules B,FAQ,Errata
CD1257,Icarus's Plea,Oracles' Sentence,Odyssey,Story,Cycle III,Half-Page,,1,"Delphi is a land stuck, its people hostage to the whims of the mad Oracles, repeating a cycle of death and destruction over and over again. You have come to free them from this time-locked prison, but also to realize a dream: to go back to a time before the Eschaton and to stop it from ever happening.\nA noble goal or a fool's errand? You still haven't decided. Still, an endeavor worth pursuing. Imagine a world without the Eschaton.\nAs you reached the shores of Delphi, you were visited by the unlikeliest of creatures, Icarus, the son of the Great Inventor. Reluctantly, and with great apprehension, did he urge you to light his father's masterpieces. Before he had a chance to reveal more, he was remvoed from Argo's deck in a brilliant flash...\nYou need to find Icarus",Find Icarus,"Create the Cycle III Exploration deck: find the Cycle III Exploration cards 1-9, 13, 19, 23, 29-30, 32-34 and shuffle them. Take the Cycle III Map tile 010 and place it on the board. Place the _Argo_ on that tile. Mark day 0 on the Timeline. Proceed to the first step of the Campaign Round.\nWhen there are 6 or more @Progress on this card, see 0008.\nDuring the Story Step of the 6th day, see 0009","The key to finding Icarus lies with his father's last work. The Lighthouses of Delphi have been built to withstand the ravages of time tiself and stave off the wall of void that descends upon the land, the inevitable Timefront. All they needed was the tinder to kindle the fire, one you've brought with you all the way from Crete: Ariadne's Anchor. It seems the shadow of the Great Inventor, Daedalus, is indeed long and dark.\nAnd it begs the question: Has all of this been preordained? Are you doomed to fail and continue this vicious cycle? In Delphi there are supposedly no coincidences. But there was also no hope here, and that you have brought aplenty. Hope will see you through this storm",Re-light 5 Daedalus Lighthouses,"Each time you reveal a Map tile with a Daedalus Lighthouse symbol, you re-light that Lighthouse. This includes all the Map tiles you already revealed. When you reveal the 5th Lighthouse, during the Story Step, see 0017.\n*Note:* Some Lighthouses are still standing in Delphi's Glorious Past, but to reach them, you will need the [Trespass Protocol|CA1611] Technology card.\nYou can place @Progress token on this card to study the unusual temporal phenomena and the fractured land of Delphi:\n2 @Progress: You partially reconstruct the geographical map of Delphi, immediately see 0016.\n5+ @Progress: Your academicians re-establish inter-lighthouse connections. This counts as 1 re-lit lighthouse for the purposes of this task",,
CD1258,To Those Long Dead,To Those Yet Unborn,Odyssey,Story,Cycle III,Half-Page,,2,"Delphi is a land stuck, and Icarus a hostage to a Sun God's last will, repeating a cycle of expectations and failure over and over again.\nThe cycle begins. In the last days before the Eschaton, on the behest of his father, Icarus undertakes a daring mission to reach the Sun in his sky ship, the Aspirant. He doesn't make it. His ship, his crew, all is lost in the incinerating embrace of the Sun's Domain. Icarus falls. He and his crew transform into the tainted creatures plaguing Delphi. The cycle loops.\nPoor Icarus keeps falling. and failing. And yet he will contineu to rise until he satisfies his father's command. Bound to repeat this vicious cycle and trap everyone else in it. And each time Delphi is a little less, consumed by the Timefront, the maw of entropy.\nIcarus is bound by the Moirai to repeat his mistakes. You are not. Change the past, let Icarus soar. Cancel the Eschaton",Change the timeline to help Icarus,"When this card is revealed, perform a Divine Surge.\nTake the six Story 2A Clue cards and shuffle them to create the [Events deck]. Draw 3 cards from this deck. These represent the events you need to change to affect the timeline and change the fate of the Aspirant. You need to change 3 events in a Single Time Loop, otherwise you will have to repeat them. For this reason, when you are asked to mark a code in the matrix, don't put it in the Choice Matrix yet, note it separately. If the Loop resets (i.e. you resolve the Loop effect), erase those noted codes. You will only mark these in the Matrix once you see the paragraph below.\nYou can collect @Progress tokens on this card. They will come in handy later and will also have some immediate benefits, allowing you to choose from a wider variety of events:\n1 @Progress: Draw another event (you still need to change only 3 events).\n3 @Progress: Draw another event (you still need to change only 3 events).\n5+ @Progress: Draw another event (you still need to change only 3 events).\nAs soon as you change 3 events in a Single Time Loop, see 0059","It should have worked. You did everything you agreed upon and events, for once, did flow differently. Yet the time loop is still here, Delphi trapped, time-locked, slowly consumed by the voracious Timefront.\nDid Icarus fail or have you been deceived? Or is there something else at play here, hidden? Impossible to tell at this point. The Last Academy is tracking the descent trajectory of a near-sun object, both through time and space. The Aspirant, the sky chariot of Icarus. You need to locate it",Calculate the course of the Aspirant. Collect Progress,"Move all @Progress tokens from side 2A here. When there are 9 or @Progress on this card, see 0083",,
CD1259,Box Of Black,The Eschaton Solution,Odyssey,Story,Cycle III,Half-Page,,3,"The Chariot crash-landed in the outer reaches of Delphi, in the bleak future from which the Twilight Watch hails, the future you are trying to avert by stopping the Eschaton.\nYou've crossed the timeslip several times now, small reconnaissance missions as you look for a way to bring the Argo into the future of Delphi to look for the Aspirant. Each time, dark thoughts assail you. The ice-locked wastes are still there. Icarus's mission must have failed, and you haven't changed anything after all. The Primordials, too, are still here, more powerful than ever.\nYou need to find the Aspirant, the heavenly chariot, and it master and commander, Icarus. Learn what went wrong",Find any chariot piece,"When this card is revealed, perform a Divine Surge.\nTake the three remaining Story 3A Clue cards and shuffle them to create the [Chariot Map deck].\nYou need to find a chariot piece depicted on any of the Maps you have acquired (including the one you already have). Chariot pieces are represented on the Map tiles with the Chariot A and Chariot B symbols.\n*Note:* The chariot pieces are scattered in the future, to which you can travel only if you have the [Icebreaker Protocol] Technology card.\nYou can collect @Progress to gain additional Chariot Maps:\n2+ @Progress: Draw a card form the Chariot Map deck\n5+ @Progress: Draw a card form the Chariot Map deck\n9+ @Progress: Draw the last card form the Chariot Map deck.\n*Finding the Aspirant:* If the Argo is on the same Map tile as a Chariot A or Chariot B symbol, during the Story step, see 0108","You have met with Icarus, but not the one from before. Not the merciful broken angel constantly failing to live up to expectations, but a creature strong, and cold, and calculating, one that went to the sun and came back transformed.\nUncaring and callous, this ""perfected"" Icarus wants to ascend to Helios's throne, to godhood, and so finally surpass his father. So it seems he is still the old Icarus: living in Daedalus's shadow, measuring his worth through the Great Inventor's pitiless eyes.\nIcarus told you one more thing: The desolate Delphi you have been voyaging through is one untouched by the Eschaton. This is the future you wanted to bring back all this time. So now you know: The only way is forward.\nThe chase after the self-styled Sun's descendant to the Domain of Helios hidden high above Delphi, in the clouds, you will need a heaven-worthy vessel. A Chariot of your own",Locate the rest of the chariot,"You need to find another chariot piece, one that matches the one you have already found, so either another @ChariotB or @ChariotA symbol.\nMove all @Progress tokens from side 3A onto this side (but do not draw additional Chariot Map cards for move @Progress). You can then continue collecting @Progress to gain additional Chariot Maps:\n2+ @Progress: Draw a card form the Chariot Map deck\n5+ @Progress: Draw a card form the Chariot Map deck\n9+ @Progress: Draw the last card form the Chariot Map deck.\*Finding the other part of the Chariot:* If the _Argo_ is on the same Map tile as @ChariotB or @ChariotA symboland this symbol matches the symbol on the first Chariot part you found, during the Story Step, see 0118.\When this story card is revealed erase your current Loop End from the timeline, then count X days from the current day and mark the last day as the Loop End. X is your Loop Length.\n*An End to All Things: If, at any point, you reach the Loop End, you lose the game. Remember, you can always force a Loop effect using the* [Chronosail|CA1610] *Technology*",,
CD1850,Trespassing,Aeons' End,Odyssey,Story,Cycle III,Half-Page,,4,"The loop is tightening. Icarus is ready to ascend the Vacant Throne, crush the Argo and Delphi along with it. You... you are not ready to be crushed just yet. As it fell, Icarus's heavenly chariot broke into pieces and has been damaged beyond repair.\nArgo Works is building a new one using the parts you have salvaged, old Hyperborean tekne, and the Argo's own systems. The Phoinikos. They're certain you will be able to achieve flight, if only for a little while. A little while is all you need.\nHowever, you're missing a crucial part, one that was destroyed a long time ago. The Argo's twilight is nigh, as its destiny looms, eager to close the circle",Procure parts for the Argo,"When this card is revealed, perform a Divine Surge.\nAdd the _Trespass_ Event to the Timeline X days from today. During the Story Step of that day, see 0135.\nX is:\nIf it's day 85+: 1 day.\nIf it's day 80-84: 2 days.\nIf it's day 75-79: 3 days.\nIf it's day 70-74: 5 days.\nIf it's day 69 or earlier: 8 days.\n*An End to All Things: If, at any point, you reach the Loop End, you lose the game. Remember, you can always force a Loop effect using the* [Chronosail|CA1610] *Technology*","This is it. The final ascent.\nAs Phoinikos takes flight, you are reminded of all that made you embark on this journey and all that made you a beacon of hope for Hellas. For a while, you too became time-locked, not by divine power or the verdict of the Moirai, but by the alluring promise of past's embrace, of misplaced nostalgia. Yet a people looking back will never progress.\nSo no more of that. The only way is forward. Not to stop the Eschaton, but to rise from its ashes.\nYou set your course for the Sun's Domain",Reach the Sun's Domain. End this,"*Phoinikos, the Argo:* The Argo Works have built you a new, flying ship, a heavenly chariot of your own! Instead of a normal move, you may resolve one or both of these effects:\n--Place the _Argo_ miniature on any explored space with the @Lighthouse symbol,\n--Move up to 3 tiles (you must stop on the first unexplored Map tile); you only resolve the symbols and effects of the tile you stop on.\n*Reach the Sun's Domain:* During any Story Step, you may see 0160 (*Warning: This is a Point of No Return, you won't be able to return to the Voyage Phases*).\n*An End to All Things: If, at any point, you reach the Loop End, you lose the game. Remember, you can always force a Loop effect using the* [Chronosail|CA1610] *Technology*",,
CD1851,Inward Odyssey: Pitiless Of The Sun,,Odyssey,Story,Cycle III,Half-Page,,IO,"As you sail through Delphi, your knowledge of the city-ship grows. Forbidden truths about the Argo and the Eschaton are revealed",,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.\nWhen you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:\n41: Throne of Heavens\n42: Burden of Proof\n43: In God's Name\n44: Crisis of Faith\n45: A Day Under the Sun\n46: Mother Dark\n47: To Grasp the Stars\n48: Inherintence\n49: Holy Murder\n50: Unto Dawn\nAfter you resolve the last adventure from this list, flip this card",Your Inward Odyssey continues!,,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.\nWhen you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:\n51: The First Junction\n52: Shadow of the Mountain\n53: Machina Ex Deus\n54: The Iron Extinction\n55: Sacred Weapons\n56: The Typhon Comes\n57: How the World Was Born\n58: Trespassing Aeons\n59: How the World Was Murdered\n60: Perpetual Motion",,
DD2079,Law of Bargains,Debts Are Forever,Odyssey,Story,Cycle IV,Half-Page,,1,"Pandora built a tower that holds all the curses. To topple it, you need to find it, and to find it, you need to speak with the cursed ruler of Persia. And before you can even face him, you need to stop the Empire from crushing and swallowing you whole... by becoming recognized by it, under the Law of Bargains.\nIn the Land Thrice-Cursed, all kneel to this Law, even the king. As the Argo sails through the sands, deeper into the Eternal Empire, you know you need to familiarize yourself with its rules too. Not to kneel, but to bend. Use it against them and buy yourselves time to search for Xerxes.",Collect Progress and submit to the Law of Bargains,"Create the Cycle IV Exploration deck: find Cycle IV Exploration cards 1-6, 8, 9, 19, 23 and 27-37 and shuffle them. Take the Cycle IV Map cards 029, 052, and 074, randomly choose one, and return the rest. Place the chosen card on the table, then place the Argo on that card. Mark day 0 on the Timeline. Proceed to the first step of the Campaign Round.\n*Ceaseless Aggression:* As long as you are on Story 1A, at the start of each Timeline Battle add 1 random Cursed Trait.\n*Acclimation note!* The first Acclimation is tied to the Law of Bargains.You cannot @Lock acclimate your Exploration deck as long as you are on the Story 1A card. If you advance the Timeline to the second Acclimation while on Story 1A, you lose the campaign; see the _Barren Aeons_ Special Event.\nEach time you gain, you may place 1 @Progress token on this card. When there are 5 or more @Progress tokens on this card, during the Story Step, see 0015.","You leave the palace-city posthaste; its streets, gilded with promises and the labor of the less fortunate, becoming insufferably suffocating. You have been granted a Writ of Belonging, but the writ is useless without the seal of a high Imperial official. Yet more busywork, another indirect attack against the Argo, to stall and aggravate.\nYou will find this Eternal Treasurer and make him stamp the Writ, of his own free will... or otherwise. You cannot waste more time.",Visit 5 Empire Treasuries and bargain with the Eternal Treasurer,"You need to find the touring office of the Eternal Treasurer to make him stamp your Writ of Belonging. Each time you explore a new Map tile with a City @City, you visit the local bablos official. This automatically, retroactively, includes all the Map tiles you have already explored up to this point. When you reveal the 5th City this way, during the Story Step, see 0038.\nYou can place @Progress tokens on this card to pay for bribes and bring the bablos to you:\n2 @Progress: For the purposes of this task, treat this Story card as 1 explored City @City.\n5 @Progress: For the purposes of this task, treat this Story card as 2 explored Cities @City.\n7+ @Progress: For the purposes of this task, treat this Story card as 3 explored Cíties @City\n*Ceaseless Aggression:* As long as you are on Story 1B, at the start of each Timeline Battle add 1 random Cursed Trait.\n*Acclimation note!* The first Acclimation is tied to the Law of Bargains. You cannot @Lock acclimate your Exploration deck as long as you are on the Story 1B card. If you advance the Timeline to the second Acclimation, while on Story 1B, you lose the campaign; see the _Barren Aeons_ Special Event.",,
DD2080,Splendor That Beggars Belief,Beyond the Wish-Veil,Odyssey,Story,Cycle IV,Half-Page,,2,"As newly minted citizens of the Eternal Empire, you are free to roam its vast deserts, at least nominally. With the Writ of Belonging came surprising insight into the way Xerxes rules his domain: from afar, with curses and invisible hands, hidden behind a veil of laws, procedures, and officials.\nAnd a Wish-veil, for good measure, whatever that is.\nYou will pierce them all. And once you stand before this so-called God-King, you will make him loosen his grasp, on the Argo, on this ill-fated land. In Delphi, you brought down a radiant god; you can deal with a cheap imitation",Find the City of Splendor,"When this card is revealed, perform a Divine Surge.\n*Acclimation note!* If you have already advanced the Timeline past the first Acclimation, as soon as you reach Story 2A and read this, perform this Acclimation.\nTake the six Story 2A Clue cards, shuffle them, then, without looking, remove one and return it to the box (you won't be using it). The remaining 5 cards form the Search for Splendor deck. Then, take the City of Splendor token, as well as 5 City of Squalor tokens, and place them near the Story card. You will place these tokens on the map.\nIf you start the Story step on an empty @City tile (one that does not have the Last Visited City token or any other tokens on it), draw a Search for Splendor card and follow its instructions. After that, if don't find the City of Splendor, place a City of Squalor token on the @City to denote it.\nYou can place @Progress tokens on this card to pay for bribes that will hasten your search:\n2 @Progress: Without looking at it, discard 1 Clue card.\n4 @Progress: Without looking at it, discard 1 Clue card.\n7+ @Progress: Without looking at it, discard 1 Clue card.\If you are ever forced to discard your last Clue card, resolve it immediately","You could say you have pierced the Wish-veil and witnessed the true shape of things, but that would be an exaggeration. You are still chasing phantoms, though of a more pronounced shape now. The Collateral Emir escapes, and you have a hunch he will lead you to the Hanging Gardens, among the clouds, where, finally, you will face the God-King Xerxes.\nHis list of crimes against you--and the people of Persia--has grown considerably since you first arrived in the Thrice-Cursed Land, and if that is any indication of how things were before, it may truly be infinite. Is there even a punishment severe enough for one so guilty?",Chase the Collateral Emir's cloud ship!,"You will find the full rules of the chase in paragraph 0093. Keep the storybook open; you'll be referring to it often!\nIf you located the Hanging Gardens, place their marker on the indicated Map tile.\nTravel to the Hanging Gardens.\nIf the _Argo_ is on the same Map tile as the Hanging Gardens marker, during the Story Step, see 1112",,
DD2081,The Rope Sellers,Grave of Empires,Odyssey,Story,Cycle IV,Half-Page,,3,"The Hanging Gardens turned out to be a dead end, which, in a sense, is par for the course for your voyage across the Land Thrice-Cursed. It is as if the people here have mad eit their trade to lie and obfuscate, to the point where nothing seems truly real anymore, not even your ship and its mission.\nYou are the Argonauts, though, and you do not simply quit. You will struggle against adversity until your very last breaths, so long as there is even the tiniest thread to follow.\nAnd that is why you embark on a search for the Graves of the Anemoi, the source of the counterweight gas that literally keeps the Eternal Empire afloat. Maybe it is the missing link to Pandora's Jar. Maybe it will become a weapon against it. Maybe.\nIt is something, at least",Look for information about the Graves of the Anemoi,"When this card is revealed, perform a Divine Surge.\nCheck the following Map tiles in order and stop as soon as you arrive at a Map tile not already explored. That is the Map tile where the Old Refinery City is located. The Map tiles you check (in order) are: [004|D004], [008|D008], [024|D024], [028|D028], [036|D036], [040|D040], [042|D042], [048|D048], [050|D050], [062|D062], [073|D073], [076|D076]. If, for some reason, you have explored all of these Map tiles, you can choose which one of them has the Old Refinery City (do it now).\nEach time you gain @Progress, you gain @Progress, you may place 1 @Progress token on this card. When there are 5 or more @Progress tokens on this card, and you are on the Old Refinery City Map tile, during the Story Step, see 1207","After a quick stop at a rundown refinery city--even its name eludes you now--you have learned the coordinates of the closest active deposit of the subterranean conterweight gas. A Grave of the Anemoi, if you believe the legends.\nYou have also witnessed the wasting effects the gas has on those who have handled it, and the remorseless attitude the Eternal Empire has toward those who are no longer useful to it, loyal citizens or not.\nYou set off toward the Grave",Travel to the Grave of the Anemoi,"You will find the full rules of this Story in paragraph 1211 (the same paragraph that directed you to take this card). In short, you need to travel to a Grave of the Anemoi. There are several on the Map, but some are exhausted, not eligible--if you're not sure which, check the aformentioned paragraph.\nIf the _Argo_ is on the same Map tile as an active Grave of the Anemoi, during the Story Step, see 1331",,
DD2082,A Mortal's Reach,Exceeds Your Grasp,Odyssey,Story,Cycle IV,Half-Page,,4,"The mural at the Grave of the Anemoi had a transformative effect, illuminating that which was previously hidden from you. It hel a deeper truth still, some kind of cipher, but this newfound knowledge was quite enough for you to go on. The veil of deceit is coming apart at the seams. You just have to pull at it a little while longer","Collect Progress to ponder on what you have realized, or see beyond it","When this card is revealed, perform a Divine Surge (see rules). Each time you gain @Progress, you may place 1 @Progress on this card. When there are 9 or more @Progress tokens on this card, flip it","The Tower of Pandora has goaded you from the moment you set foot in Persia, always there, in the corner of your eye, ready to appear at a moment's notice to dispense its curses.\nYou did not deserve it, just as the peoples of Persian have done nothing to deserve the yoke of Infinite Growth. And yet, you both allowed yourselves to be deceived into believing that you had. Into self-loathing. Into guilt. Into debt.\nNo more.\nToday, the tower falls, and growth stops",Reach Pandora's Jar,"*Immediately: See 3300*.\n*Reach Pandora's Jar:* If the _Argo_ is on the Pandora's Jar Map tile, during the Story Step, you may see 3306 *(Warning: This is a Point of No Return; you won't be able to return to the Voyage Phase beyond this point)*.",,
DD2568,Inward Odyssey: Gardens of Infinite Growth,,Odyssey,Story,Cycle IV,Half-Page,,IO,"As you sail through the Thrice-Cursed Land of Persia, your knowledge of the city-ship grows. Illusions are dispersed, and a final course is charted",,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.\nWhen you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:\n61: Daybreak\n62: Polyphemos\n63: The Glassblower\n64: The Glorious Climb\n65: The King and the Philosopher\n66: The Great Crime\n67: The Last Lotus Eater\n68: Cast to the Four\n69: Long Voyage Home\n70: Titanaktisos\nAfter you resolve the last adventure from this list, flip this card",Your Inward Odyssey continues!,,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.\nWhen you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:\n71: The Island of Pigs\n72: A Girl from Uruk\n73: Smoke and Mirrors\n74: The Sun Endures\n75: Due Time\n76: Gardens of the Moon\n77: The Laestrygonian\n78: Jason\n79: Kiss of Mnemosyne\n80: Nostos",,
ED2657,What Remains?,The Face of the Enemy,Odyssey,Story,Cycle V,Half-Page,,1,"You came to the Cyclades to realize the late Old Priest's plan. Bring hope to its people and put an end to the threat of the long Eschaton once and for all. Free Hellas from the shackles of the gods, Primordials, and black ambrosia in one fell swoop.\nIt took years to finally get here. THousands have come and gone from the Argo in the meantime, conscripts and refugees from Crete, Sparta, Delphi, Persia, and all the other disparate places you have not visited, but which have heard about you and your mission, and decided to throw their lots with the Odyssey.\nThe list of the decorated and the dead covers many steles of the Heroon. Countless nameless Titans have been killed in action, the only evidence of their existence the notches on the walls of the Titan Stoa. So many notches.\nChallenges overcome. Empires toppled. Tyrants slain. Sacrifices made and paid in full. Lifetimes of struggle.\nFor it all to spectacularly fail before your eyes. For it to cause untold devastation and make things worse. To unleash a monster that could drown the world in flames. Ur-Fleece.\nWithout recourse, without a plan, you are left to ask: what remains?","Discard Progress and help the people of the Cyclades deal with the Disaster, as you look for the Virtuary","Create the Cycle V Exploration deck by finding the Cycle V Exploration cards 1-6, 8, 9, 19, 23, 29, and 31-36 and shuffling them. Then, take the Cycle V Map card [047|E047] and place it, surface face up, on the table, then place the _Argo_ on that card. Mark day 0 on the Timeline. Proceed to the first step of the Campaign Round.\n*On reveal:* Place 4 @Progress tokens on this card.\nEach time you would gain @Progress, discard 1 @Progress token from this card. If there are no more tokens on this card, see 0028.\n*You may discard tokens from this card only if the Last Visited City token is on the Map, on a surface City* @City *space*","A decade ago, the Protectorate emerged as the major power of the Cyclades, putting an end to years of lawlessness and religious strife. They promised safety and prosperity. Today, the archipelago is nothing but. Today, their control is slipping.\nYou travel the Great Sea, bringing relief to the victims of the Disaster, straddling the divide between the Protectorate and the Vanguard of Atlantis, returning to claim what they perceive is their birthright. Ever on the lookout for the Virtuary, who many call ""Truthsayer,"" and whom the Truth Machine marked as the only one who can stop Ur-Fleece.\nBehind you, the Nemesis. Ahead of you, a conflict with the Symmachy who wish to take the Argo away","Discard Progress and help the people of the Cyclades deal with the Disaster, as you look for the Virtuary","*On reveal:* If the Nemesis has not yet entered play, place the _Nemesis_ miniature on the closest @City tile not occupied by the _Argo_.\n*On reveal:* Place 3 @Progress tokens on this card.\nEach time you would gain @Progress, discard 1 @Progress token from this card.\nIf there are no more tokens on this card, see 0039.\nYou may discard tokens from this card only if the Last Visited City token is on the Map, on a surface City @City space.",,
ED2658,The Enemy of My Enemy,White Haven,Odyssey,Story,Cycle V,Half-Page,,2,"On the shores of Ios, an old foe has reappeared. For once, you have gained the upper hand, thanks to an unlikely ally, who you believe to have been the Virtuary. Few would doubt the near-prophetic words of the Truth Machine.\nYet the encounter has opened old wounds and sowed fear among the crew. Against your wishes, stories of a fabled refuge called ""Unknown Delos"" spread in hushed whispers. Though you understand the weariness and the desire ot finally lay down arms, you will not abandon your mission to look for something... that may not even exist.\nUnlike myths, you now know the Virtuary is a man of blood and bones, and men leave trails",Find someone who can lead you to the Virtuary,"When this card is revealed, perform a Divine Surge.\nEach time you gian @Progress, you may place 1 @Progress on this card. When there are 4 or more @Progress on this card, during the Story Step, see 0911","With the Nemesis spreading their holy terror and Ur-Fleece boiling the seas, the Cyclades once again drown in fear. Many await a promised Truthsayer to come and wash away their grief and pain in one tidal wave of truth, and many seize this opportunity to proclaim themselves prophet. The Punished was only the beginning.\nAnother, arguably, is the Virtuary, though you believe him to be different. The Machine marked him. He is the key to defeating Ur-Fleece and quelling the rising flames...\nAnd you finally know where to find him. White Haven, a hidden Followers of Arete hermitage, whose trappings purposefully tap into the imagery of the mythical refuge of Unknown Delos. The Virtuary is supposed to be there, making an address to his inner circle.\nNow... you just need to locate it",Find the location of 'White Haven',"If you start the Story Step on an Underwater @City tile that does not have the Last Visited Underwater City token or any other tokens on it, see 0577.\nDuring this Story card, if you wish, you may place additional @Progress here. This @Progress represents your research into 'Unknown Delos'",,
ED2659,Quietly Into the Night,Place of No Return,Odyssey,Story,Cycle V,Half-Page,,3,"At Eusebes, the Follower hermitage of White Haven, you have found only ghosts and death... and the Last Hierei's desire. He is not interested in you or the Argo at all, but rather in what it currently holds: the Truth Machine, which he thinks is the genuine article, not a Mnestis-generated simulacrum. He believes it will tell him how to bring Poseidon back from the dead. ""A priest should never drink his own poison,"" says Jason. ""HIs faith is his weakness, which we might yet exploit...""\nThe Argo is not the only lead the Last Heirei is following. There once was an original Truth Machine, remember, one lost with the fall of Anostos, Atlantis's capital. Now that the metropolis is rumored to have been reclaimed, others will soon find their way there.\nYou need to get there before the Nemesis does","Collect Progress and find Anostos, the fallen capital of Atlantis","When this card is revealed, perform a Divine Surge.\n*Immediately: see 1399*.\nYou now have a Phos Map that supposedly leads to the capital of Atlantis. You need to find the tile shown on that Map card.\nEach time you gain @Progress, you may place 1 @Progress token on this card. Then, if you have:\n3+ @Progress: Gain another, random Story 3A Clue card (cards 3AA-3AF).\n5+ @Progress: Check your Phos Map cards for deatils on new actions.\nIf you start the Story Step on a tile you think is the correct one, match the clue form the card to the clue on the tile to find a paragraph number! If you are correct, place the Atlantean Capital marker on your tile and proceed to the appropriate paragraph.\n*Important: Be sure you're ready for what is to come*.","You went to Anostos to stop the Last Hierei from finding a way to awaken his dead god, Poseidon. Needlessly. For he is already on his way. Has been, since that fateful night on Thera. Thanks to you.\nThe Last Hierei does not know. Yet. He will, once he gets his hands on the Argo and the Truth Machine. You can't go against him and his indominable ship, the Nemesis, alone. You hate to admit it, but... you need help. You need the Symmachy",Rendezvous with the Symmachy fleet,"*Immediately:* If the Doom card number is lower than the Story card number, during the Doom Step, flip or archive the current Doom card, triggering any relevant paragraph.\nAdd the _Rendezvous_ Event to the Timeline X days from today. During the Story Step of that day, see 2407.\nX is:\nIf it's day 65+: 1 day.\nIf it's day 60+: 6 days.\nIf it's day 50+: 12 days.\nIf it's day 40+: 18 days.\nIf it's day 39 or earlier: 20 days.\nYou don't need @Progress for this Story! However, if you wish, you may place additional @Progress here. This @Progress represents your research into 'Unknown Delos'",,
ED2660,The Sleep of Reason,Odyssey's End,Odyssey,Story,Cycle V,Half-Page,,4,"You have left the Symmachy fleet behind, and with it any notion that they will help you. No one will. Poseidon is waking. Unbeknownst, the Last Hierei comes for you to hasten his return.\nYou last hope is to hide. Remove yourselves from the world, so the Last Hierei never claims the damned thing. There is only one place in the whole Cyclades where one might find shelter from all harm, a mythical refuge. Unknown Delos.\nIf it exists. If you can find your way to it",Find Unknown Delos,"When this card is revealed, perform a Divine Surge.\n*Immediately::* If the Doom card number is lower than 3, during the Doom Step, flip or archive the current Doom card, triggering any relevant paragraph.\n*Immediately:* See 2406.\n*End of Hope:* Disable the [Hope Logic|AA0038] Technology card.\nTake the seven 4A Clue cards and shuffle them. This is the [Unknown Delos] deck. When you visit any City @City, a tile with a Ruins token on it, or a Silver Remnant @SilverRemnant, during the Story Step, draw an Unknown Delos card and place a Generic token on the visited location to mark it as searched (you cannot gain any more Unknown Delos card from that tile).\nThe Unknown Delos cards will reveal to you the place you need to go--a paragraph number. When you know the number, simply proceed to it. The paragraph you're looking for will be marked be a @FragmentedCircle tag.\n*Warning:* This is a Point of No Return","You sought Unknown Delos, and, after much struggle, you have found it. You wish you haven't. There is no refuge. Never was. Not for the Silver People. Not for you. Not even for the god-in-tatters. Just fairy tales to help children sleep at night.\nThere is... nothing for you to do now. Nowhere to run, or hide. With a myriad foes around you, with a ship that is at this very moment failing, you stand no chance of facing even the pale shadow of Ur-Fleece.\nWhat remains?\nYou are the Argonauts. You will go out the same way you lived: swinging",Help the Cycladeans for as long as you can and go out swinging,"*Immediately:* If the Doom card number is lower than 3B, during the Doom Step, flip or archive the current Doom card, triggering any relevant paragraph.\n*End of Hope:* Disable the [Hope Logic|AA0038] Technology card. You cannot gain @Crew. When you lose -1 @Crew, you may instead gain +1 @Doom. When you emergency submerge, you may gain +1 @Doom instead of losing -1 @Hull",,
ED2662,Inward Odyssey: Truthsayer,,Odyssey,Story,Cycle V,Half-Page,,IO,"As you sail through the Cyclades, you begin to piece it all together",,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.\nWhen you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:\n81: My Ship\n82: All Great Truths\n83: A Life Unfinished\n84: I Am the Message\n85: The Great Hierei\n86: Dark\n87: Favorite Son\n88: Lies of Trismegistus\n89: Creatures of Habit\n90: The Silver Age\nAfter you resolve the last adventure from this list, flip this card",Your Inward Odyssey continues!,,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.\nWhen you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:\n91: A Heel Turn\n92: The Cult of Telemachus\n93: The Tortoise and the Hare\n94: Speak Not of Ilion\n95: Music of the Spheres\n96: The Trojan\n97: Worldcarers\n98: Genesis\n99: A Ship Named Argo\n100: Kathairein\n101: My Penelope",,
